,name,taste,url,typ_origin,price_250g,price_1000g,timestamp,retailer
0,Mocca,Schwarzbrot,{'url': 'https://www.rastshop.ch/de/kaffee/mocca'},"Kaffee-Mischung
Indonesien, Brasilien, Costa Rica",250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-09 19:14:10.919879+00:00,Rast Kaffee
1,Visconti,dunkle Schokolade,{'url': 'https://www.rastshop.ch/de/kaffee/visconti'},"Kaffee-Mischung
Brasilien, Kolumbien, Indonesien, Costa Rica",250 g à CHF 6.30,1 kg à CHF 22.90,2022-12-09 19:14:10.967681+00:00,Rast Kaffee
2,Wiener,"Toast, Zartbitterschokolade",{'url': 'https://www.rastshop.ch/de/kaffee/wiener'},"Kaffee-Mischung
Guatemala, Indonesien, Costa Rica, Brasilien",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-09 19:14:11.051408+00:00,Rast Kaffee
3,Eldorado,"Süssholz, Geranie, frische Erde",{'url': 'https://www.rastshop.ch/de/kaffee/eldorado'},"Kaffee-Mischung
Indien, Guatemala, Brasilien, Costa Rica",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-09 19:14:11.164723+00:00,Rast Kaffee
4,Premium,"Mandeln, Brotkruste",{'url': 'https://www.rastshop.ch/de/kaffee/premium'},"Kaffee-Mischung
Indonesien, Guatemala, Brasilien, Indien",250 g à CHF 6.50,1 kg à CHF 23.90,2022-12-09 19:14:11.314753+00:00,Rast Kaffee
5,Latino No 2,"Malz, Aprikose, Pflaume, Zwetschge, Mandeln",{'url': 'https://www.rastshop.ch/de/kaffee/latino-no-2'},"Kaffee-Mischung
Brasilien, PNG, Guatemala, Costa Rica, Kolumbien",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-09 19:14:11.322439+00:00,Rast Kaffee
6,Festival,"dunkle Beeren, Schokolade, Akazienhonig",{'url': 'https://www.rastshop.ch/de/kaffee/festival'},"Kaffee-Mischung
Kenia, Guatemala, Brasilien, Costa Rica",250 g à CHF 7.00,1 kg à CHF 25.90,2022-12-09 19:14:11.330498+00:00,Rast Kaffee
7,Barista Crème,"Schokolade, Akazienhonig, Beeren, Vanille, Brot",{'url': 'https://www.rastshop.ch/de/kaffee/barista-creme'},"Kaffee-Mischung
Kenia, Costa Rica, Indonesien, PNG, Guatemala",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-09 19:14:11.338889+00:00,Rast Kaffee
8,Latino No 5,nussig,{'url': 'https://www.rastshop.ch/de/kaffee/latino-no-5'},"Kaffee-Mischung
Kolumbien, Jamaika, Costa R., Guatemala, Brasilien",250 g à CHF 9.00,1 kg à CHF 33.90,2022-12-09 19:14:11.347690+00:00,Rast Kaffee
9,Fairtrade Crème,"dunkle Schokolade, Haselnuss, Karamell",{'url': 'https://www.rastshop.ch/de/kaffee/fairtrade-creme'},"Kaffee-Mischung
Brasilien, Peru, Honduras",250 g à CHF 6.80,1 kg à CHF 24.90,2022-12-09 19:14:11.528085+00:00,Rast Kaffee
